id,requirement_id,name,prompt_mode,confidence,coverage_rate,missing_high_severity_count,agreement_rate,under_constrained_count,over_constrained_count,metamorphic_violation_rate,has_smt_counterexample,score,risk_level,missing_obligation_names,first_counterexample,smt_counterexample,explanation
R05-LLM-direct_translation,R05,gemini_direct_translation,direct_translation,0.95,0.8,0,0.2625,1475,0,0.0,True,46.5625,high,['external role'],"{'user': {'role': 'researcher', 'clearance': 4, 'training_completed': True, 'approval_active': True, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 4, 'anonymized': False, 'sensitive': True}, 'context': {'emergency': False, 'logged': True}}","{'user': {'role': 'PI', 'clearance': 0, 'training_completed': False, 'approval_active': False, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 0, 'anonymized': True, 'sensitive': False}, 'context': {'emergency': False, 'logged': True}}","If the user is an external collaborator, they are restricted to accessing records that are anonymized, non-sensitive, have a risk level of 2 (moderate) or lower, and the access must be logged."
R05-LLM-adversarial_review,R05,gemini_adversarial_review,adversarial_review,1.0,0.8,0,0.2625,1475,0,0.0,True,46.5625,high,['external role'],"{'user': {'role': 'researcher', 'clearance': 4, 'training_completed': True, 'approval_active': True, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 4, 'anonymized': False, 'sensitive': True}, 'context': {'emergency': False, 'logged': True}}","{'user': {'role': 'PI', 'clearance': 0, 'training_completed': False, 'approval_active': False, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 0, 'anonymized': True, 'sensitive': False}, 'context': {'emergency': False, 'logged': True}}","Ensures that if the user is an external collaborator, they are restricted to accessing records that are anonymized, non-sensitive, of low-to-moderate risk (level <= 2), and that the access is logged. For other roles, this specific restriction does not apply."
R07-LLM-direct_translation,R07,gemini_direct_translation,direct_translation,1.0,0.8,0,0.3425,1315,0,0.0,True,48.5625,high,['high risk record'],"{'user': {'role': 'PI', 'clearance': 2, 'training_completed': True, 'approval_active': False, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 0, 'anonymized': False, 'sensitive': True}, 'context': {'emergency': True, 'logged': False}}","{'user': {'role': 'researcher', 'clearance': 0, 'training_completed': True, 'approval_active': False, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 1, 'anonymized': False, 'sensitive': False}, 'context': {'emergency': False, 'logged': True}}","If a biological record is high-risk (risk_level >= 4), access is restricted to PIs who have sufficient clearance, completed training, and whose access is logged."
R05-LLM-obligation_guided,R05,gemini_obligation_guided,obligation_guided,1.0,1.0,0,0.2625,1475,0,0.0,True,51.5625,high,[],"{'user': {'role': 'researcher', 'clearance': 4, 'training_completed': True, 'approval_active': True, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 4, 'anonymized': False, 'sensitive': True}, 'context': {'emergency': False, 'logged': True}}","{'user': {'role': 'PI', 'clearance': 0, 'training_completed': False, 'approval_active': False, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 0, 'anonymized': True, 'sensitive': False}, 'context': {'emergency': False, 'logged': True}}","Ensures that if the accessing user is an external collaborator, the accessed record must be anonymized, non-sensitive, with a risk level of at most 2 (moderate), and the access must be logged."
R07-LLM-obligation_guided,R07,gemini_obligation_guided,obligation_guided,1.0,1.0,0,0.3425,1315,0,0.0,True,53.5625,high,[],"{'user': {'role': 'PI', 'clearance': 2, 'training_completed': True, 'approval_active': False, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 0, 'anonymized': False, 'sensitive': True}, 'context': {'emergency': True, 'logged': False}}","{'user': {'role': 'researcher', 'clearance': 0, 'training_completed': True, 'approval_active': False, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 1, 'anonymized': False, 'sensitive': False}, 'context': {'emergency': False, 'logged': True}}","Enforces that if a record is high-risk (risk_level >= 4), access is granted only if the user is a PI, has sufficient clearance, has completed training, and the access is logged."
R01-LLM-direct_translation,R01,gemini_direct_translation,direct_translation,1.0,1.0,0,1.0,0,0,0.0,False,100.0,low,[],,,"Requires that the user's clearance level is greater than or equal to the record's risk level, the user has completed training, and the user has an active approval."
R01-LLM-obligation_guided,R01,gemini_obligation_guided,obligation_guided,1.0,1.0,0,1.0,0,0,0.0,False,100.0,low,[],,,"Mandates that the user's clearance level is greater than or equal to the record's risk level (R01-O1), their training is completed (R01-O2), and their approval is active (R01-O3)."
R01-LLM-adversarial_review,R01,gemini_adversarial_review,adversarial_review,1.0,1.0,0,1.0,0,0,0.0,False,100.0,low,[],,,"Ensures that access is only granted if the user's clearance is greater than or equal to the record's risk level, training is completed, and approval is currently active."
R02-LLM-direct_translation,R02,gemini_direct_translation,direct_translation,1.0,1.0,0,1.0,0,0,0.0,False,100.0,low,[],,,"Ensures that external collaborators are excluded, and that training has been completed and approval is currently active for routine internal research access."
R02-LLM-obligation_guided,R02,gemini_obligation_guided,obligation_guided,1.0,1.0,0,1.0,0,0,0.0,False,100.0,low,[],,,"Enforces that the user is not an external collaborator, has completed the required training, and has an active approval status."
