original_item_id,repaired_item_id,requirement_id,fault_type,repair_action,score_before,score_after,disagreements_before,disagreements_after,high_under_before,high_under_after,repair_success,regression
R01-C1,R01-RC1,R01,missing_obligation,add_missing_obligations,59.329166666666666,100.0,187,0,187,0,True,False
R01-C2,R01-RC2,R01,wrong_comparator,add_missing_obligations,80.57916666666667,88.9125,87,87,0,0,True,False
R01-C3,R01-RC3,R01,extra_restriction,replace_recognized_over_constraint,87.2625,100.0,219,0,0,0,True,False
R02-C1,R02-RC1,R02,missing_obligation,add_missing_obligations,60.104166666666664,100.0,125,0,125,0,True,False
R02-C2,R02-RC2,R02,wrong_comparator,add_missing_obligations,55.34166666666667,85.2375,506,381,125,0,True,False
R02-C3,R02-RC3,R02,wrong_boolean_connective,replace_recognized_under_constraint,51.2,100.0,1504,0,1135,0,True,False
R03-C1,R03-RC1,R03,missing_obligation,add_missing_obligations,62.224999999999994,100.0,122,0,122,0,True,False
R03-C2,R03-RC2,R03,wrong_comparator,add_missing_obligations,60.65,88.425,248,126,122,0,True,False
R03-C3,R03-RC3,R03,extra_restriction,replace_recognized_over_constraint,88.8875,100.0,89,0,0,0,True,False
R04-C1,R04-RC1,R04,missing_obligation,add_missing_obligations,61.7125,100.0,163,0,163,0,True,False
R04-C2,R04-RC2,R04,wrong_comparator,add_missing_obligations,80.3625,88.3375,271,133,0,0,True,False
R04-C3,R04-RC3,R04,extra_restriction,replace_recognized_over_constraint,88.8125,100.0,95,0,0,0,True,False
R05-C1,R05-RC1,R05,missing_obligation,add_missing_obligations,64.5375,100.0,37,0,37,0,True,False
R05-C2,R05-RC2,R05,wrong_comparator,add_missing_obligations,83.575,89.625,114,30,0,0,True,False
R05-C3,R05-RC3,R05,wrong_boolean_connective,replace_recognized_under_constraint,46.6625,100.0,1867,0,1396,0,True,False
R06-C1,R06-RC1,R06,missing_obligation,add_missing_obligations,61.4875,100.0,181,0,181,0,True,False
R06-C2,R06-RC2,R06,wrong_comparator,add_missing_obligations,79.55,87.75,336,180,0,0,True,False
R06-C3,R06-RC3,R06,missing_emergency_logging,add_missing_obligations,50.9875,100.0,521,0,521,0,True,False
R07-C1,R07-RC1,R07,missing_obligation,add_missing_obligations,64.49282544378698,100.0,33,0,33,0,True,False
R07-C2,R07-RC2,R07,wrong_comparator,add_missing_obligations,84.90461045364891,89.90461045364891,7,7,0,0,True,False
R07-C3,R07-RC3,R07,extra_restriction,unchanged,100.0,100.0,0,0,0,0,False,False
R08-C1,R08-RC1,R08,missing_obligation,add_missing_obligations,64.4375,100.0,45,0,45,0,True,False
R08-C2,R08-RC2,R08,wrong_comparator,add_missing_obligations,83.2125,89.5875,143,33,0,0,True,False
R08-C3,R08-RC3,R08,extra_restriction,replace_recognized_over_constraint,89.5875,100.0,33,0,0,0,True,False
R09-C1,R09-RC1,R09,missing_obligation,add_missing_obligations,63.962500000000006,100.0,83,0,83,0,True,False
R09-C2,R09-RC2,R09,wrong_comparator,add_missing_obligations,83.35,89.0,132,80,0,0,True,False
R09-C3,R09-RC3,R09,wrong_boolean_connective,replace_recognized_under_constraint,46.6875,100.0,1865,0,1380,0,True,False
R10-C1,R10-RC1,R10,missing_obligation,add_missing_obligations,82.8375,87.8375,173,173,0,0,True,False
R10-C2,R10-RC2,R10,wrong_comparator,add_missing_obligations,84.15,88.5,68,120,0,0,True,True
R10-C3,R10-RC3,R10,wrong_boolean_connective,add_missing_obligations,30.5875,87.8375,1153,173,799,0,True,False
