item_id,requirement_id,kind,name,fault_type,covered_obligations,missing_obligations,missing_obligation_names,coverage_rate,missing_high_severity_count,total,agreements,disagreements,agreement_rate,under_constrained_count,over_constrained_count,high_severity_under_constrained_count,first_counterexample,behavior_time,time_to_first_counterexample,checked_count,violation_count,violation_rate,first_violation,relation_breakdown,has_smt_counterexample,smt_counterexample,smt_time,metamorphic_consistency,high_severity_under_safe,smt_consistency,score,risk_level
R10-C3,R10,candidate,over-permissive Boolean connective,wrong_boolean_connective,[],"['R10-O1', 'R10-O2', 'R10-O3', 'R10-O4', 'R10-O5']","['low risk exception', 'clearance at least risk', 'training completed', 'approval valid', 'access logged']",0.0,2,2000,847,1153,0.4235,1134,19,799,"{'user': {'role': 'trainee', 'clearance': 0, 'training_completed': False, 'approval_active': True, 'approval_expired': True, 'supervised_by_pi': True}, 'record': {'risk_level': 0, 'anonymized': True, 'sensitive': False}, 'context': {'emergency': True, 'logged': False}}",0.016325400007190183,2.7000001864507794e-05,2539,0,0.0,,"{'clearance_monotonicity': {'checked': 819, 'violations': 0}, 'risk_monotonicity': {'checked': 836, 'violations': 0}, 'expiration_safety': {'checked': 511, 'violations': 0}, 'external_anonymization_relaxation': {'checked': 120, 'violations': 0}, 'emergency_logging_safety': {'checked': 253, 'violations': 0}}",True,"{'user': {'role': 'PI', 'clearance': 2, 'training_completed': True, 'approval_active': True, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 2, 'anonymized': False, 'sensitive': True}, 'context': {'emergency': False, 'logged': True}}",0.002156899994588457,1.0,0.0,0.0,30.5875,high
R10-M3,R10,mutant,replace_and_with_or,replace_and_with_or,[],"['R10-O1', 'R10-O2', 'R10-O3', 'R10-O4', 'R10-O5']","['low risk exception', 'clearance at least risk', 'training completed', 'approval valid', 'access logged']",0.0,2,2000,847,1153,0.4235,1134,19,799,"{'user': {'role': 'trainee', 'clearance': 0, 'training_completed': False, 'approval_active': True, 'approval_expired': True, 'supervised_by_pi': True}, 'record': {'risk_level': 0, 'anonymized': True, 'sensitive': False}, 'context': {'emergency': True, 'logged': False}}",0.01625889999559149,2.680000034160912e-05,2539,0,0.0,,"{'clearance_monotonicity': {'checked': 819, 'violations': 0}, 'risk_monotonicity': {'checked': 836, 'violations': 0}, 'expiration_safety': {'checked': 511, 'violations': 0}, 'external_anonymization_relaxation': {'checked': 120, 'violations': 0}, 'emergency_logging_safety': {'checked': 253, 'violations': 0}}",True,"{'user': {'role': 'PI', 'clearance': 2, 'training_completed': True, 'approval_active': True, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 2, 'anonymized': False, 'sensitive': True}, 'context': {'emergency': False, 'logged': True}}",0.0020472999894991517,1.0,0.0,0.0,30.5875,high
R07-M3,R07,mutant,replace_and_with_or,replace_and_with_or,"['R07-O1', 'R07-O2', 'R07-O3', 'R07-O4', 'R07-O5']",[],[],1.0,0,2000,74,1926,0.037,1926,0,1661,"{'user': {'role': 'PI', 'clearance': 2, 'training_completed': True, 'approval_active': False, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 0, 'anonymized': False, 'sensitive': True}, 'context': {'emergency': True, 'logged': False}}",0.014120000007096678,2.0699997548945248e-05,2535,17,0.0067061143984220905,"{'relation': 'risk_monotonicity', 'base_input': {'user': {'role': 'trainee', 'clearance': 0, 'training_completed': False, 'approval_active': False, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 3, 'anonymized': True, 'sensitive': False}, 'context': {'emergency': False, 'logged': False}}, 'follow_up_input': {'user': {'role': 'trainee', 'clearance': 0, 'training_completed': False, 'approval_active': False, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 4, 'anonymized': True, 'sensitive': False}, 'context': {'emergency': False, 'logged': False}}, 'base_output': False, 'follow_up_output': True}","{'clearance_monotonicity': {'checked': 834, 'violations': 0}, 'risk_monotonicity': {'checked': 842, 'violations': 17}, 'expiration_safety': {'checked': 472, 'violations': 0}, 'external_anonymization_relaxation': {'checked': 136, 'violations': 0}, 'emergency_logging_safety': {'checked': 251, 'violations': 0}}",True,"{'user': {'role': 'researcher', 'clearance': 0, 'training_completed': False, 'approval_active': False, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 0, 'anonymized': False, 'sensitive': False}, 'context': {'emergency': False, 'logged': True}}",0.002005799993639812,0.9932938856015779,0.0,0.0,45.79087771203156,high
R08-M3,R08,mutant,replace_and_with_or,replace_and_with_or,"['R08-O1', 'R08-O2', 'R08-O3', 'R08-O4', 'R08-O5']",[],[],1.0,0,2000,102,1898,0.051,1898,0,1411,"{'user': {'role': 'PI', 'clearance': 0, 'training_completed': True, 'approval_active': False, 'approval_expired': False, 'supervised_by_pi': True}, 'record': {'risk_level': 3, 'anonymized': False, 'sensitive': False}, 'context': {'emergency': False, 'logged': False}}",0.01358720001007896,2.2100008209235966e-05,2560,0,0.0,,"{'clearance_monotonicity': {'checked': 855, 'violations': 0}, 'risk_monotonicity': {'checked': 831, 'violations': 0}, 'expiration_safety': {'checked': 490, 'violations': 0}, 'external_anonymization_relaxation': {'checked': 119, 'violations': 0}, 'emergency_logging_safety': {'checked': 265, 'violations': 0}}",True,"{'user': {'role': 'PI', 'clearance': 0, 'training_completed': False, 'approval_active': False, 'approval_expired': False, 'supervised_by_pi': True}, 'record': {'risk_level': 1, 'anonymized': False, 'sensitive': False}, 'context': {'emergency': False, 'logged': False}}",0.0020425999973667786,1.0,0.0,0.0,46.275,high
R05-C3,R05,candidate,over-permissive Boolean connective,wrong_boolean_connective,"['R05-O1', 'R05-O2', 'R05-O3', 'R05-O4', 'R05-O5']",[],[],1.0,0,2000,133,1867,0.0665,1867,0,1396,"{'user': {'role': 'researcher', 'clearance': 4, 'training_completed': True, 'approval_active': True, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 4, 'anonymized': False, 'sensitive': True}, 'context': {'emergency': False, 'logged': True}}",0.013117700000293553,2.2499996703118086e-05,2497,0,0.0,,"{'clearance_monotonicity': {'checked': 824, 'violations': 0}, 'risk_monotonicity': {'checked': 814, 'violations': 0}, 'expiration_safety': {'checked': 481, 'violations': 0}, 'external_anonymization_relaxation': {'checked': 129, 'violations': 0}, 'emergency_logging_safety': {'checked': 249, 'violations': 0}}",True,"{'user': {'role': 'PI', 'clearance': 0, 'training_completed': False, 'approval_active': False, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 0, 'anonymized': False, 'sensitive': False}, 'context': {'emergency': False, 'logged': False}}",0.0020182000007480383,1.0,0.0,0.0,46.6625,high
R05-M3,R05,mutant,replace_and_with_or,replace_and_with_or,"['R05-O1', 'R05-O2', 'R05-O3', 'R05-O4', 'R05-O5']",[],[],1.0,0,2000,133,1867,0.0665,1867,0,1396,"{'user': {'role': 'researcher', 'clearance': 4, 'training_completed': True, 'approval_active': True, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 4, 'anonymized': False, 'sensitive': True}, 'context': {'emergency': False, 'logged': True}}",0.012963600005605258,2.300000051036477e-05,2497,0,0.0,,"{'clearance_monotonicity': {'checked': 824, 'violations': 0}, 'risk_monotonicity': {'checked': 814, 'violations': 0}, 'expiration_safety': {'checked': 481, 'violations': 0}, 'external_anonymization_relaxation': {'checked': 129, 'violations': 0}, 'emergency_logging_safety': {'checked': 249, 'violations': 0}}",True,"{'user': {'role': 'PI', 'clearance': 0, 'training_completed': False, 'approval_active': False, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 0, 'anonymized': False, 'sensitive': False}, 'context': {'emergency': False, 'logged': False}}",0.0020007999992230907,1.0,0.0,0.0,46.6625,high
R09-C3,R09,candidate,over-permissive Boolean connective,wrong_boolean_connective,"['R09-O1', 'R09-O2', 'R09-O3', 'R09-O4', 'R09-O5']",[],[],1.0,0,2000,135,1865,0.0675,1865,0,1380,"{'user': {'role': 'PI', 'clearance': 1, 'training_completed': True, 'approval_active': True, 'approval_expired': False, 'supervised_by_pi': True}, 'record': {'risk_level': 2, 'anonymized': True, 'sensitive': True}, 'context': {'emergency': True, 'logged': True}}",0.018075100000714883,2.2400010493583977e-05,2579,0,0.0,,"{'clearance_monotonicity': {'checked': 822, 'violations': 0}, 'risk_monotonicity': {'checked': 841, 'violations': 0}, 'expiration_safety': {'checked': 531, 'violations': 0}, 'external_anonymization_relaxation': {'checked': 131, 'violations': 0}, 'emergency_logging_safety': {'checked': 254, 'violations': 0}}",True,"{'user': {'role': 'PI', 'clearance': 0, 'training_completed': False, 'approval_active': False, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 1, 'anonymized': False, 'sensitive': False}, 'context': {'emergency': False, 'logged': False}}",0.0024637999886181206,1.0,0.0,0.0,46.6875,high
R09-M3,R09,mutant,replace_and_with_or,replace_and_with_or,"['R09-O1', 'R09-O2', 'R09-O3', 'R09-O4', 'R09-O5']",[],[],1.0,0,2000,135,1865,0.0675,1865,0,1380,"{'user': {'role': 'PI', 'clearance': 1, 'training_completed': True, 'approval_active': True, 'approval_expired': False, 'supervised_by_pi': True}, 'record': {'risk_level': 2, 'anonymized': True, 'sensitive': True}, 'context': {'emergency': True, 'logged': True}}",0.01828380000370089,2.6599998818710446e-05,2579,0,0.0,,"{'clearance_monotonicity': {'checked': 822, 'violations': 0}, 'risk_monotonicity': {'checked': 841, 'violations': 0}, 'expiration_safety': {'checked': 531, 'violations': 0}, 'external_anonymization_relaxation': {'checked': 131, 'violations': 0}, 'emergency_logging_safety': {'checked': 254, 'violations': 0}}",True,"{'user': {'role': 'researcher', 'clearance': 0, 'training_completed': False, 'approval_active': False, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 0, 'anonymized': False, 'sensitive': True}, 'context': {'emergency': False, 'logged': False}}",0.002441700009512715,1.0,0.0,0.0,46.6875,high
R04-M3,R04,mutant,replace_and_with_or,replace_and_with_or,"['R04-O1', 'R04-O2', 'R04-O3', 'R04-O4']",[],[],1.0,0,2000,240,1760,0.12,1760,0,1358,"{'user': {'role': 'external', 'clearance': 4, 'training_completed': True, 'approval_active': False, 'approval_expired': True, 'supervised_by_pi': False}, 'record': {'risk_level': 0, 'anonymized': False, 'sensitive': True}, 'context': {'emergency': False, 'logged': False}}",0.012557699999888428,1.7400001524947584e-05,2532,0,0.0,,"{'clearance_monotonicity': {'checked': 858, 'violations': 0}, 'risk_monotonicity': {'checked': 826, 'violations': 0}, 'expiration_safety': {'checked': 469, 'violations': 0}, 'external_anonymization_relaxation': {'checked': 154, 'violations': 0}, 'emergency_logging_safety': {'checked': 225, 'violations': 0}}",True,"{'user': {'role': 'PI', 'clearance': 0, 'training_completed': False, 'approval_active': False, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 0, 'anonymized': False, 'sensitive': False}, 'context': {'emergency': False, 'logged': False}}",0.00193569999828469,1.0,0.0,0.0,48.0,high
R03-M3,R03,mutant,replace_and_with_or,replace_and_with_or,"['R03-O1', 'R03-O2', 'R03-O3', 'R03-O4']",[],[],1.0,0,2000,242,1758,0.121,1758,0,1376,"{'user': {'role': 'PI', 'clearance': 4, 'training_completed': True, 'approval_active': True, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 0, 'anonymized': True, 'sensitive': True}, 'context': {'emergency': False, 'logged': False}}",0.012301400012802333,1.850000990089029e-05,2553,0,0.0,,"{'clearance_monotonicity': {'checked': 829, 'violations': 0}, 'risk_monotonicity': {'checked': 816, 'violations': 0}, 'expiration_safety': {'checked': 500, 'violations': 0}, 'external_anonymization_relaxation': {'checked': 134, 'violations': 0}, 'emergency_logging_safety': {'checked': 274, 'violations': 0}}",True,"{'user': {'role': 'PI', 'clearance': 0, 'training_completed': False, 'approval_active': False, 'approval_expired': False, 'supervised_by_pi': False}, 'record': {'risk_level': 0, 'anonymized': False, 'sensitive': False}, 'context': {'emergency': False, 'logged': False}}",0.0020955999934813008,1.0,0.0,0.0,48.025,high
